Site_ID,Site,Cluster_best_silhouette
SITE_0001,Ahtopol Fortress,1
SITE_0002,Kozareva Mogila,1
SITE_0003,Poros Fortress,1
SITE_0004,Cape Akra settlement,1
SITE_0005,Deultum,1
SITE_0006,Gornoto Gradishte,1
SITE_0007,Antimovo Fortress,1
SITE_0008,Poros Fortress wall,1
SITE_0009,Dolmen Dragon house,1
SITE_0010,Urdoviza Fortress,1
SITE_0011,Gradishte Fortress II,1
SITE_0012,Mishkova Niva,2
SITE_0013,Necropolis City of the dead,1
SITE_0014,Golyamoto Kale,1
SITE_0015,Church of Christ Pantokrator,1
SITE_0016,Church of St. John Aliturgetos,1
SITE_0017,Church of St. John the Baptist,1
SITE_0018,Church of St. Paraskeva,1
SITE_0019,Church of St. Stefan,1
SITE_0020,Church of St. Theodore,1
SITE_0021,Church of St. Vlahara,1
SITE_0022,Church of the Holy Archangels,1
SITE_0023,Fortification of Mesembria Pontica,1
SITE_0024,Foundations of Basilica Eliusa,1
SITE_0025,Mesembria Terms,1
SITE_0026,Mesembria West St. John,1
SITE_0027,Stara Mitropolia,1
SITE_0028,Anchialos Building,1
SITE_0029,Anchialos Christian Church,1
SITE_0030,Anchialos Church,1
SITE_0031,Anchialos Fortification,1
SITE_0032,Anchialos Necropolis,1
SITE_0033,Pomorie tomb,1
SITE_0034,Begliktash,1
SITE_0035,Chengerska mound,1
SITE_0036,Mound Stamopolu,1
SITE_0037,Oriospotamo,1
SITE_0038,Ranuli Fortress,1
SITE_0039,Thera Fortress foundation,1
SITE_0040,Rusokastro Fortress,1
SITE_0041,Apollonia Pontica Cape Skamni,1
SITE_0042,Apollonia Pontica Chapel,1
SITE_0043,Fortification of St. John Monastery,1
SITE_0044,Island St. Kirik and St. Julita,1
SITE_0045,Mesarite,1
SITE_0046,Monastery of St. John the Baptist,1
SITE_0047,Necropolis of Apollonia I,1
SITE_0048,Necropolis of Apollonia II,1
SITE_0049,Necropolis of Apollonia III,1
SITE_0050,Sozopolis Southern Complex,1
SITE_0051,Sozopolis Southern Fortification,1
SITE_0052,St. Marina Oikos,1
SITE_0053,Via sacra,1
SITE_0054,Aquae Calidae,1
SITE_0055,Alexandrovo Tomb,1
SITE_0056,Asara Shrine and Fortress,1
SITE_0057,Dolmen Slavova Koriya,1
SITE_0058,Dolmen Gaidarov dolap,1
SITE_0059,Deaf Stones,2
SITE_0060,Cromlech,1
SITE_0061,Mound Dolno Botevo,1
SITE_0062,Kovan Kaya,1
SITE_0063,Kovan Kaya niches I,3
SITE_0064,Gledka mound I,1
SITE_0065,Gledka mound II,1
SITE_0066,Furnadzhika,2
SITE_0067,Dolmen Gorno Voyvodino,1
SITE_0068,Dolmen Nachovi chairi,1
SITE_0069,Rodostitsa Fortress,1
SITE_0070,Villa Armira,1
SITE_0071,Castra Rubra,1
SITE_0072,Kapitan Petko Voyvoda mound I,1
SITE_0073,Sanctuary of Nymphs and Aphrodite,1
SITE_0074,Fortress Klokotnitsa,1
SITE_0075,Fortified ruling house,1
SITE_0076,Dolmen Mangura,2
SITE_0077,Dolmen Starite Loza,2
SITE_0078,Hambar Kaya II,3
SITE_0079,Deaf Stones Church,2
SITE_0080,Bukelon Fortress,1
SITE_0081,Matochina Rock Church,1
SITE_0082,Merichleri mound I,1
SITE_0083,Merichleri mound II,1
SITE_0084,Merichleri mound III,1
SITE_0085,Mezek Tumulus,1
SITE_0086,Neutzikon Fortress,1
SITE_0087,Mihalich Rock Church,3
SITE_0088,Dolmen Bayamluka,1
SITE_0089,Orlovo Town,1
SITE_0090,Dolmen Kapakliyka II,1
SITE_0091,Mehir Stone Chuchul,1
SITE_0092,Ak Kaya,3
SITE_0093,Kara inn,3
SITE_0094,Dolmen Plevun,1
SITE_0095,Kovan Kaya niches II,2
SITE_0096,Efraim Fortress,3
SITE_0097,Dolmen Bakalov kladenets,1
SITE_0098,Dolmen Byalata treva,1
SITE_0099,Dolmen Kapakliyka I,1
SITE_0100,Dolmen Kliftinova niva,1
SITE_0101,Dolmen Paskalevi kelemeta,1
SITE_0102,Dolmen Sakartsi,2
SITE_0103,Burdenis Fortress,1
SITE_0104,Svilengrad mound necropolis,1
SITE_0105,Svirachi Golyamata Mogila,1
SITE_0106,Paleokastro Fortress,2
SITE_0107,Paparimsko Kale,2
SITE_0108,Holy Trinity Monastery,1
SITE_0109,Orlovi Skali,3
SITE_0110,Dupchen Kamak,1
SITE_0111,Hambar Dere Necropolis,1
SITE_0112,Chernichino mound,2
SITE_0113,Patmos Fortress,1
SITE_0114,Duzhdovnitsa niches,3
SITE_0115,Perperikon,2
SITE_0116,Church of St. John Prodomus,1
SITE_0117,Necropolis of St. John Prodomus,1
SITE_0118,Toplitsa,1
SITE_0119,Moryantsi tomb,1
SITE_0120,Sivri Kaya niches,3
SITE_0121,Arkata,3
SITE_0122,Gouk in cave,3
SITE_0123,Pop Martinova Dypka,3
SITE_0124,Ada Tepe,2
SITE_0125,Redestyuk Fortress,2
SITE_0126,Tatul,2
SITE_0127,Ustra,2
SITE_0128,Vishegrad Fortress,1
SITE_0129,Hambar Kaya,2
SITE_0130,Asar Kaya niches,3
SITE_0131,Mal Asar,2
SITE_0132,Sredna Arda Rock cut niches,3
SITE_0133,Shan Kaya,3
SITE_0134,Belovo Basilica,2
SITE_0135,St. Spas Basilica,2
SITE_0136,Roman bridge Bratsigovo,2
SITE_0137,Dzhenevra,2
SITE_0138,Pashino Bardo,2
SITE_0139,Tsepina,2
SITE_0140,Church of St. Dimitar,1
SITE_0141,Peristera Fortress,1
SITE_0142,Kulata Gradot,2
SITE_0143,The tower Kalinkata,2
SITE_0144,Tatarsko Kale,2
SITE_0145,Emporion Pistiros,1
SITE_0146,Zhaba Mogila,1
SITE_0147,Lyubnishko Kale,2
SITE_0148,Bona Mansio,1
SITE_0149,Tell Yunatsite,1
SITE_0150,Anevo Kale,2
SITE_0151,Asenova Fortress,3
SITE_0152,Bachkovo Monastery,1
SITE_0153,Church of St. George Metokha,1
SITE_0154,Church of the Holy Virgin of Petrich,3
SITE_0155,Stanimaka Fortress ruins,1
SITE_0156,Golyama Dragoyna,2
SITE_0157,Monastery of St. Cyril and St. Yulita,2
SITE_0158,Diocletionopolis,3
SITE_0159,Hisarya Basilica 1,1
SITE_0160,Hisarya Basilica 3,1
SITE_0161,Hisarya Basilica 8,1
SITE_0162,Hisarya Fortress walls,1
SITE_0163,Hisarya Roman Baths,3
SITE_0164,Stone of Tsar Asen,3
SITE_0165,Monastery of Saints Cosmas and Damian,3
SITE_0166,Maltepe,1
SITE_0167,Red Church,1
SITE_0168,Ancient Theatre of Philippopolis,3
SITE_0169,Domus Eirene,1
SITE_0170,East Gate Philippopolis,1
SITE_0171,Episcopal Great Basilica,1
SITE_0172,Hellenistic buildings,1
SITE_0173,Hisarya Kapia,1
SITE_0174,Inner Fortress wall of Philippopolis,3
SITE_0175,Minor Basilica,1
SITE_0176,Nebet Tepe,1
SITE_0177,Outer Fortress wall of Philippopolis,1
SITE_0178,Peristyle building and street intersection,1
SITE_0179,Philippopolis Roman Baths I,1
SITE_0180,Remains of Fortress wall of Philippopolis,1
SITE_0181,Roman Forum of Philippopolis,1
SITE_0182,Roman Stadium of Philippopolis,1
SITE_0183,Spas Bair hill,1
SITE_0184,Belintash,2
SITE_0185,Chetinyova Mogila,3
