Number_of_clusters,Cluster,Number_of_sites,C_DEM,C_Slope,C_Acos,C_Asin,C_RusLog,C_FlDist,C_x,C_y
3,1,178,-0.4099018211150514,-0.42675665834142396,0.014081364012713765,0.020743836202499942,0.09077876583262866,0.04863460094299679,0.01805383255507962,0.017236771162781984
3,2,41,1.5264521843616121,0.37933257914212365,0.11293755083362439,-0.03927503321038049,-0.8886317398891708,0.06576963664568146,-0.04869113680480512,-0.04755674704863195
3,3,31,0.3347736967642613,1.9487112722569355,-0.23022330253040646,-0.06716537039941935,0.654041323137484,-0.3662423893649323,-0.0392659866389809,-0.036074794773615804
4,1,178,-0.4099018211150514,-0.42675665834142396,0.014081364012713765,0.020743836202499942,0.09077876583262866,0.04863460094299679,0.01805383255507962,0.017236771162781984
4,2,41,1.5264521843616121,0.37933257914212365,0.11293755083362439,-0.03927503321038049,-0.8886317398891708,0.06576963664568146,-0.04869113680480512,-0.04755674704863195
4,3,27,0.34554247322815185,1.8458479165557407,-0.16314274562683703,-0.1275320904692222,0.107567840636,-0.3414732914627,-0.04069260291748918,-0.027814340953610742
4,4,4,0.262084455633,2.64303892324,-0.6830170616295,0.34030999007175,4.3427373300225,-0.533433800205,-0.02963632675905,-0.09183285805864999
5,1,31,-0.015846016224216133,-0.41471683917559676,-0.009753295294599998,-0.03090739540862581,1.3259612038830644,-0.014024873684809668,-0.010594419765595388,0.015261351282267742
5,2,147,-0.49300202486754047,-0.4292956678253739,0.019107720737385373,0.03163627280076456,-0.16970188436848369,0.061848503755663475,0.024095300731548495,0.017653356307652333
5,3,41,1.5264521843616121,0.37933257914212365,0.11293755083362439,-0.03927503321038049,-0.8886317398891708,0.06576963664568146,-0.04869113680480512,-0.04755674704863195
5,4,27,0.34554247322815185,1.8458479165557407,-0.16314274562683703,-0.1275320904692222,0.107567840636,-0.3414732914627,-0.04069260291748918,-0.027814340953610742
5,5,4,0.262084455633,2.64303892324,-0.6830170616295,0.34030999007175,4.3427373300225,-0.533433800205,-0.02963632675905,-0.09183285805864999
6,1,31,-0.015846016224216133,-0.41471683917559676,-0.009753295294599998,-0.03090739540862581,1.3259612038830644,-0.014024873684809668,-0.010594419765595388,0.015261351282267742
6,2,147,-0.49300202486754047,-0.4292956678253739,0.019107720737385373,0.03163627280076456,-0.16970188436848369,0.061848503755663475,0.024095300731548495,0.017653356307652333
6,3,9,3.515531219411111,0.6027467583305968,0.7052877236257777,0.1825676958161778,-0.08749947619022225,0.4500614877208889,-0.09238579316287777,-0.07376534319042222
6,4,32,0.9670237057539406,0.31649734124536566,-0.05366093526416875,-0.1016683007491,-1.1139501890545,-0.04231244646922063,-0.03640201470409719,-0.04018557938375344
6,5,27,0.34554247322815185,1.8458479165557407,-0.16314274562683703,-0.1275320904692222,0.107567840636,-0.3414732914627,-0.04069260291748918,-0.027814340953610742
6,6,4,0.262084455633,2.64303892324,-0.6830170616295,0.34030999007175,4.3427373300225,-0.533433800205,-0.02963632675905,-0.09183285805864999
7,1,31,-0.015846016224216133,-0.41471683917559676,-0.009753295294599998,-0.03090739540862581,1.3259612038830644,-0.014024873684809668,-0.010594419765595388,0.015261351282267742
7,2,129,-0.4307965101979725,-0.4528231885684881,-0.054074952591225973,0.07587529898998752,-0.16360482454235736,-0.14049653242466256,0.011922477448027286,0.011231111126041806
7,3,18,-0.9388082133327776,-0.2606817691663889,0.5435835462591,-0.2854100815553333,-0.21339747978905554,1.5119879297146666,0.11133386759678382,0.06367944677586111
7,4,9,3.515531219411111,0.6027467583305968,0.7052877236257777,0.1825676958161778,-0.08749947619022225,0.4500614877208889,-0.09238579316287777,-0.07376534319042222
7,5,32,0.9670237057539406,0.31649734124536566,-0.05366093526416875,-0.1016683007491,-1.1139501890545,-0.04231244646922063,-0.03640201470409719,-0.04018557938375344
7,6,27,0.34554247322815185,1.8458479165557407,-0.16314274562683703,-0.1275320904692222,0.107567840636,-0.3414732914627,-0.04069260291748918,-0.027814340953610742
7,7,4,0.262084455633,2.64303892324,-0.6830170616295,0.34030999007175,4.3427373300225,-0.533433800205,-0.02963632675905,-0.09183285805864999
