Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_RusLog,C_FlDist,C_x,C_y,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
SITE_0001,Ahtopol Fortress,-1.00366089747,-0.572333605517,1.24011846886,-0.408361370168,0.0,-0.469274868852,0.131559273429,-0.0134584698418,1,1,2,2,2
SITE_0002,Kozareva Mogila,-0.784834041293,-0.829427850976,0.189368653516,-1.16761140499,-0.190769988898,0.592510171497,0.107346348332,0.0876970065408,1,1,2,2,2
SITE_0003,Poros Fortress,-1.05460919361,-0.639445991076,0.658994743049,-1.06639987706,0.0,-0.860332990023,0.100759820754,0.0502752833845,1,1,2,2,2
SITE_0004,Cape Akra settlement,-0.996988658437,-0.527045102286,-0.772052237025,-0.183268886555,0.0,-0.253750607856,0.110859786415,0.0530536777911,1,1,2,2,2
SITE_0005,Deultum,-1.02505664017,-0.988639656939,-0.975377407297,0.12304563963,0.0,-0.858434092248,0.0887584874795,0.0396864497759,1,1,2,2,2
SITE_0006,Gornoto Gradishte,-0.968699004054,-0.750211873858,0.303894731363,-1.16501578974,0.336737270851,-0.856512479684,0.0884070883748,0.0381892117827,1,1,2,2,2
SITE_0007,Antimovo Fortress,-0.230221762823,-0.686339946986,-0.513969032578,-0.953900301456,2.02551485533,-0.329764283915,0.0656303613844,0.0730114975619,1,1,1,1,1
SITE_0008,Poros Fortress wall,-1.032457664,-0.553071512738,-0.847814239004,0.618839311058,0.0,-0.86131718418,0.101055608107,0.0522987362557,1,1,2,2,2
SITE_0009,Dolmen Dragon house,-0.636641342941,-0.977646263234,0.0402826225929,0.528565478216,-1.24624408898,1.20019453039,0.118877563345,0.0251341151156,1,1,2,2,2
SITE_0010,Urdoviza Fortress,-1.00898917116,-0.77118232724,0.373133247171,-1.12505175595,0.0,0.78470231654,0.120918138709,0.0115209201392,1,1,2,2,2
SITE_0011,Gradishte Fortress II,-0.329505325787,-0.92919469097,-0.733393773507,-0.519597472475,1.41242061832,0.740681106606,0.0632919940764,0.114564143542,1,1,1,1,1
SITE_0012,Mishkova Niva,0.361583736046,-0.212869099835,-0.575599577297,-0.283364511331,-1.13106062411,0.302886599976,0.103042121107,-0.0414543220135,2,2,3,4,5
SITE_0013,Necropolis City of the dead,0.386326526119,-0.984664066113,1.2204691793,0.166009204308,-1.15942169008,0.133215795131,0.102010946532,-0.0366329741473,1,1,2,2,2
SITE_0014,Golyamoto Kale,-0.122195142819,-0.902012389096,0.481107085195,0.813294178928,-1.11037944935,0.958864344184,0.0936159148879,-0.00524109607277,1,1,2,2,2
SITE_0015,Church of Christ Pantokrator,-1.01470688475,-0.70625354878,0.948874551132,0.102109397347,0.0,1.66041840358,0.117519198048,0.0911246633341,1,1,2,2,3
SITE_0016,Church of St. John Aliturgetos,-1.02393843942,-0.201876596626,-0.891915729152,-0.168335683928,0.0,1.6637191309,0.117509049412,0.0908598139573,1,1,2,2,3
SITE_0017,Church of St. John the Baptist,-1.01681963184,-0.240663367143,1.15992191816,0.241921832814,0.0,1.66568098486,0.117565746715,0.0911909578179,1,1,2,2,3
SITE_0018,Church of St. Paraskeva,-1.00050161881,-0.623580026787,1.26083124682,0.401958879131,0.0,1.67671650725,0.117658871657,0.0912876340918,1,1,2,2,3
SITE_0019,Church of St. Stefan,-1.005431367,-0.319011361274,0.0925632749338,-1.13687738326,0.0,1.6615061326,0.11750405135,0.0909561140557,1,1,2,2,3
SITE_0020,Church of St. Theodore,-0.991253956928,-0.606476885504,-0.851510126597,-0.439365868451,0.0,1.70299543973,0.117865903104,0.0913532784313,1,1,2,2,3
SITE_0021,Church of St. Vlahara,-0.99687896642,-0.864127273439,0.720579063175,-0.616868761393,0.0,1.68790087677,0.117745724076,0.0912637598671,1,1,2,2,3
SITE_0022,Church of the Holy Archangels,-1.00893938767,-0.574786364982,0.968487334376,-0.754124137443,0.0,1.67410689611,0.117631870534,0.0913033401026,1,1,2,2,3
SITE_0023,Fortification of Mesembria Pontica,-1.03577534125,-0.574761152819,0.892093608232,-0.900867107968,0.0,1.63927666792,0.117355466624,0.0911491570921,1,1,2,2,3
SITE_0024,Foundations of Basilica Eliusa,-1.03195339166,0.854487890114,1.1406117285,0.814586663985,0.0,1.69998790184,0.117812868895,0.0915725607349,1,1,2,2,3
SITE_0025,Mesembria Terms,-1.02940733445,-0.115217103965,-0.212042177263,-1.0576006184,0.0,1.6668725127,0.117577586751,0.0912566997725,1,1,2,2,3
SITE_0026,Mesembria West St. John,-1.00734475548,-0.961637903096,0.593188959188,0.721842671125,0.0,1.58154444129,0.116864640139,0.0914012462598,1,1,2,2,3
SITE_0027,Stara Mitropolia,-1.005544456,-0.491802616503,1.04915932779,0.685283358286,0.0,1.68101261455,0.117690453591,0.091206376255,1,1,2,2,3
SITE_0028,Anchialos Building,-1.05170493885,-0.903370116964,-0.740388856327,-0.330405165059,-0.439342003371,0.313163152172,0.109444899426,0.0750985567581,1,1,2,2,2
SITE_0029,Anchialos Christian Church,-1.05344074133,-0.711501463358,0.69678060529,-0.127578980699,0.0,0.373620613936,0.110065511656,0.0738429886172,1,1,2,2,2
SITE_0030,Anchialos Church,-1.04545843413,-0.875456411902,0.019355253494,-0.188316969904,0.0,0.330551988087,0.109724047079,0.0736832505546,1,1,2,2,2
SITE_0031,Anchialos Fortification,-1.03520467346,-0.66365489953,0.120617318123,-0.650113537122,0.0,0.373630280552,0.110019936859,0.0744398277395,1,1,2,2,2
SITE_0032,Anchialos Necropolis,-1.05224694647,-1.05671365277,0.79455064211,-1.00874391859,0.0,0.394944701407,0.110240942659,0.0737580280358,1,1,2,2,2
SITE_0033,Pomorie tomb,-0.985848930585,0.276341261196,-0.867856706566,-0.0687083891374,0.188039604535,0.223521517247,0.108844835986,0.0737169432681,1,1,2,2,2
SITE_0034,Begliktash,-0.658485948792,-0.94933651015,-0.411790661301,-0.533193154352,-1.12559862947,1.28207771987,0.119946230268,0.0256049008958,1,1,2,2,2
SITE_0035,Chengerska mound,-0.884410775329,-0.686035842658,1.19654492167,-0.626537773062,-1.25905043478,1.2306008267,0.117999289335,0.0226133613576,1,1,2,2,3
SITE_0036,Mound Stamopolu,-1.03515939982,-0.172046655839,0.641679490673,0.626719339292,-1.26705486885,1.31686083504,0.119116845572,0.0199193683709,1,1,2,2,2
SITE_0037,Oriospotamo,-1.00333556589,-0.393490373627,0.482839467506,-1.16825326202,0.0,1.19480356142,0.119312087535,0.0297344550663,1,1,2,2,3
SITE_0038,Ranuli Fortress,-0.719836407952,1.53176228912,0.527389737856,-1.11903350293,-1.03313962962,1.05913099876,0.117868824713,0.0264484253182,1,1,2,2,3
SITE_0039,Thera Fortress foundation,-1.00516818165,-0.279055648006,-0.456441897783,-0.934149966314,-0.371418725443,1.46321716786,0.121481661117,0.0250469325133,1,1,2,2,3
SITE_0040,Rusokastro Fortress,-0.737061954814,0.277545100253,-0.617653629919,0.652807281692,-0.669992174305,0.25809412541,0.0807930382711,0.0584348255999,1,1,2,2,2
SITE_0041,Apollonia Pontica Cape Skamni,-1.0195108397,0.10937062068,0.680917608447,1.13798072875,0.0,0.36700789722,0.115556960861,0.0470367172332,1,1,2,2,2
SITE_0042,Apollonia Pontica Chapel,-1.03824709619,-0.412340723394,0.820776841491,0.773811650364,0.0,0.305935338303,0.11518459906,0.0464044572346,1,1,2,2,2
SITE_0043,Fortification of St. John Monastery,-1.0585965095,-0.902126094283,-0.483444519728,-0.0136946933812,0.0,0.151430235204,0.115046203879,0.0492684572651,1,1,2,2,2
SITE_0044,Island St. Kirik and St. Julita,-1.00761111615,-0.119761526834,-0.739173676659,0.358767680854,0.0,0.374386622931,0.11493782359,0.0471362723048,1,1,2,2,2
SITE_0045,Mesarite,-0.840967668202,-0.461844611284,-0.130795980434,-1.15749882079,-1.25669452636,0.186152159749,0.11471517842,0.0438239714881,1,1,2,2,2
SITE_0046,Monastery of St. John the Baptist,-1.0585965095,-1.2383108958,0.0,0.0,0.0,0.151430235204,0.115050563894,0.0492013194473,1,1,2,2,2
SITE_0047,Necropolis of Apollonia I,-0.967539799862,-0.669600294971,-0.951603191325,-0.0893540218788,0.0,0.375744829521,0.116168371336,0.042497227254,1,1,2,2,2
SITE_0048,Necropolis of Apollonia II,-1.03380415612,-0.24222429503,1.32570698038,-0.027969115453,0.0,0.342750132317,0.11598049818,0.0438516391,1,1,2,2,2
SITE_0049,Necropolis of Apollonia III,-0.961095350445,-0.964504743124,0.48892562204,-0.445474642657,0.0,0.510805298242,0.117306108808,0.0439520293426,1,1,2,2,2
SITE_0050,Sozopolis Southern Complex,-0.999399186785,-0.0212894956115,-0.812580913906,-0.432423212362,0.0,0.346925359982,0.115399818339,0.0469454094541,1,1,2,2,2
SITE_0051,Sozopolis Southern Fortification,-1.01388665699,0.848634438368,-0.191343349155,1.14974203541,0.0,0.329831121253,0.115303587078,0.0467241012104,1,1,2,2,2
SITE_0052,St. Marina Oikos,-0.882218348907,-0.542826580782,-0.78546640621,-0.615827261776,-1.22095802957,0.141401448722,0.114335005986,0.0435316657155,1,1,2,2,2
SITE_0053,Via sacra,-1.04716981592,-0.579684871257,1.36758717976,0.166226633189,0.0,0.309644222094,0.115695162854,0.0444169767485,1,1,2,2,2
