Site_ID,Site,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin,gi_class
SITE_0001,Ahtopol Fortress,2.187943,-4.180649,0.000029067808,9,-3,Cold spot with 99% confidence
SITE_0002,Kozareva Mogila,3.029679,-3.880236,0.000104355050,9,-3,Cold spot with 99% confidence
SITE_0003,Poros Fortress,2.322317,-4.338056,0.000014374839,9,-3,Cold spot with 99% confidence
SITE_0004,Cape Akra settlement,1.745817,-4.241784,0.000022175029,9,-3,Cold spot with 99% confidence
SITE_0005,Deultum,2.423349,-4.216493,0.000024813104,9,-3,Cold spot with 99% confidence
SITE_0006,Gornoto Gradishte,2.474148,-3.966242,0.000073014678,9,-3,Cold spot with 99% confidence
SITE_0007,Antimovo Fortress,4.374992,-1.656963,0.097526981759,9,-1,Cold spot with 90% confidence
SITE_0008,Poros Fortress wall,1.979069,-4.751845,0.000002015690,9,-3,Cold spot with 99% confidence
SITE_0009,Dolmen Dragon house,2.761952,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0010,Urdoviza Fortress,2.459670,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0011,Gradishte Fortress II,3.518960,-0.946185,0.344054004669,9,0,Not statistically significant
SITE_0012,Mishkova Niva,3.165558,-3.546921,0.000389761294,9,-3,Cold spot with 99% confidence
SITE_0013,Necropolis City of the dead,3.349071,-3.546921,0.000389761294,9,-3,Cold spot with 99% confidence
SITE_0014,Golyamoto Kale,2.423214,-3.671350,0.000241272584,9,-3,Cold spot with 99% confidence
SITE_0015,Church of Christ Pantokrator,2.176432,-4.675308,0.000002935129,9,-3,Cold spot with 99% confidence
SITE_0016,Church of St. John Aliturgetos,2.176432,-4.675308,0.000002935129,9,-3,Cold spot with 99% confidence
SITE_0017,Church of St. John the Baptist,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0018,Church of St. Paraskeva,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0019,Church of St. Stefan,2.176432,-4.675308,0.000002935129,9,-3,Cold spot with 99% confidence
SITE_0020,Church of St. Theodore,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0021,Church of St. Vlahara,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0022,Church of the Holy Archangels,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0023,Fortification of Mesembria Pontica,2.491634,-4.675308,0.000002935129,9,-3,Cold spot with 99% confidence
SITE_0024,Foundations of Basilica Eliusa,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0025,Mesembria Terms,1.745817,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0026,Mesembria West St. John,4.320872,-4.182786,0.000028795837,9,-3,Cold spot with 99% confidence
SITE_0027,Stara Mitropolia,2.176432,-4.747701,0.000002057414,9,-3,Cold spot with 99% confidence
SITE_0028,Anchialos Building,1.587712,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0029,Anchialos Christian Church,1.916215,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0030,Anchialos Church,2.288326,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0031,Anchialos Fortification,1.916215,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0032,Anchialos Necropolis,3.032546,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0033,Pomorie tomb,2.351020,-4.051531,0.000050883588,9,-3,Cold spot with 99% confidence
SITE_0034,Begliktash,2.761952,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0035,Chengerska mound,2.853491,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0036,Mound Stamopolu,2.853491,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0037,Oriospotamo,1.745817,-3.667865,0.000244584613,9,-3,Cold spot with 99% confidence
SITE_0038,Ranuli Fortress,2.331082,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0039,Thera Fortress foundation,1.670824,-3.924257,0.000086997864,9,-3,Cold spot with 99% confidence
SITE_0040,Rusokastro Fortress,2.918794,-3.804533,0.000142071958,9,-3,Cold spot with 99% confidence
SITE_0041,Apollonia Pontica Cape Skamni,1.745817,-4.109143,0.000039712956,9,-3,Cold spot with 99% confidence
SITE_0042,Apollonia Pontica Chapel,2.831781,-4.083328,0.000044395277,9,-3,Cold spot with 99% confidence
SITE_0043,Fortification of St. John Monastery,3.037664,-4.083328,0.000044395277,9,-3,Cold spot with 99% confidence
SITE_0044,Island St. Kirik and St. Julita,1.745817,-4.083328,0.000044395277,9,-3,Cold spot with 99% confidence
SITE_0045,Mesarite,3.688401,-3.311400,0.000928304554,9,-3,Cold spot with 99% confidence
SITE_0046,Monastery of St. John the Baptist,2.176432,-4.083328,0.000044395277,9,-3,Cold spot with 99% confidence
