Site_ID,Site,Cluster_3,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,WLC_RISK,RISK_CLASS
SITE_0001,Ahtopol Fortress,1,1,1,3,5,,1,2.187942650592102,Low
SITE_0002,Kozareva Mogila,1,1,1,3,3,3,7,3.029679329228782,Low
SITE_0003,Poros Fortress,1,1,5,3,5,,1,2.322316885660033,Low
SITE_0004,Cape Akra settlement,1,1,1,3,,,1,1.745816912757584,Very Low
SITE_0005,Deultum,1,1,5,5,1,,1,2.423348994389111,Low
SITE_0006,Gornoto Gradishte,1,1,5,5,1,3,1,2.474148478997223,Low
SITE_0007,Antimovo Fortress,1,3,1,7,5,7,1,4.374991710713660,Moderate
SITE_0008,Poros Fortress wall,1,1,7,3,,,1,1.979068750532837,Very Low
SITE_0009,Dolmen Dragon house,1,1,1,3,5,1,5,2.761951633910441,Low
SITE_0010,Urdoviza Fortress,1,1,1,3,7,,1,2.459670286057857,Low
SITE_0011,Gradishte Fortress II,1,3,1,3,9,5,1,3.518960035887733,Low
SITE_0012,Mishkova Niva,2,1,1,3,5,1,3,3.165557606700695,Low
SITE_0013,Necropolis City of the dead,1,1,1,3,7,1,7,3.349071491573100,Low
SITE_0014,Golyamoto Kale,1,1,1,5,3,1,1,2.423213902596010,Low
SITE_0015,Church of Christ Pantokrator,1,1,1,3,,,3,2.176432474650664,Low
SITE_0016,Church of St. John Aliturgetos,1,1,1,3,,,3,2.176432474650664,Low
SITE_0017,Church of St. John the Baptist,1,1,1,3,,,3,2.176432474650664,Low
SITE_0018,Church of St. Paraskeva,1,1,1,3,,,3,2.176432474650664,Low
SITE_0019,Church of St. Stefan,1,1,1,3,,,3,2.176432474650664,Low
SITE_0020,Church of St. Theodore,1,1,1,3,,,3,2.176432474650664,Low
SITE_0021,Church of St. Vlahara,1,1,1,3,,,3,2.176432474650664,Low
SITE_0022,Church of the Holy Archangels,1,1,1,3,,,3,2.176432474650664,Low
SITE_0023,Fortification of Mesembria Pontica,1,3,1,3,,,1,2.491633825515168,Low
SITE_0024,Foundations of Basilica Eliusa,1,1,1,3,,,3,2.176432474650664,Low
SITE_0025,Mesembria Terms,1,1,1,3,,,1,1.745816912757584,Very Low
SITE_0026,Mesembria West St. John,1,3,1,3,5,,9,4.320871980969083,Moderate
SITE_0027,Stara Mitropolia,1,1,1,3,,,3,2.176432474650664,Low
SITE_0028,Anchialos Building,1,1,1,3,1,1,1,1.587711918585122,Very Low
SITE_0029,Anchialos Christian Church,1,1,1,3,3,,1,1.916215015126346,Very Low
SITE_0030,Anchialos Church,1,1,1,3,3,,3,2.288325502805443,Low
SITE_0031,Anchialos Fortification,1,1,1,3,3,,1,1.916215015126346,Very Low
SITE_0032,Anchialos Necropolis,1,1,1,3,3,,7,3.032546478163639,Low
SITE_0033,Pomorie tomb,1,1,1,3,3,3,3,2.351019744754995,Low
SITE_0034,Begliktash,1,1,1,3,5,1,5,2.761951633910441,Low
SITE_0035,Chengerska mound,1,1,1,3,3,1,7,2.853491360721569,Low
SITE_0036,Mound Stamopolu,1,1,1,3,3,1,7,2.853491360721569,Low
SITE_0037,Oriospotamo,1,1,1,3,,,1,1.745816912757584,Very Low
SITE_0038,Ranuli Fortress,1,1,1,3,7,1,1,2.331082114862419,Low
