Site_ID,Site,Cluster,Status,Intentional_NA_Criteria,Unexpected_Missing_Fields,Reason,Rusle_MTH,ELSUS_MTH,Material_general,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR
SITE_0001,Ahtopol Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.),Coastal excl.,Near≤400m,Mortared stone masonry,1,3,1,,5,1
SITE_0003,Poros Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.),Coastal excl.,Near≤400m,Mortared stone masonry,1,3,5,,5,1
SITE_0004,Cape Akra settlement,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Mortared stone masonry,1,3,1,,,1
SITE_0005,Deultum,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,1,5,5,,1,1
SITE_0008,Poros Fortress wall,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Coastal excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Coastal excl.,NoData>400m,Mortared stone masonry,1,3,7,,,1
SITE_0010,Urdoviza Fortress,1,Intentional N/A - renormalized,Soil Erosion,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.),Urban excl.,Direct,Mortared stone masonry,1,3,1,,7,1
SITE_0015,Church of Christ Pantokrator,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0016,Church of St. John Aliturgetos,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0017,Church of St. John the Baptist,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0018,Church of St. Paraskeva,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0019,Church of St. Stefan,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0020,Church of St. Theodore,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0021,Church of St. Vlahara,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
SITE_0022,Church of the Holy Archangels,1,Intentional N/A - renormalized,Soil Erosion; Landslide,,Soil Erosion: RUSLE not applicable / excluded (Urban excl.) | Landslide: ELSUS unavailable: nearest valid cell is beyond 400 m,Urban excl.,NoData>400m,Mortared mixed masonry (stone + brick),1,3,1,,,3
