Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Alternative_Applicable_Weight_Sum,Baseline_WLC,Alternative_WLC,Baseline_Class,Alternative_Class,Class_Changed
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0001,Ahtopol Fortress,Soil Erosion,0.9119060157463934,0.912828568393084,2.187942650592102,2.2647788785982934,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0002,Kozareva Mogila,,1.0,1.0,3.0296793292287827,3.0953782569966757,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0003,Poros Fortress,Soil Erosion,0.9119060157463934,0.912828568393084,2.3223168856600336,2.3972847605184824,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0004,Cape Akra settlement,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,1.7458169127575842,1.8389330444024896,Very Low,Very Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0005,Deultum,Soil Erosion,0.9119060157463934,0.912828568393084,2.4233489943891118,2.584336807822094,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0006,Gornoto Gradishte,,1.0,1.0,2.474148478997224,2.620570763350543,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0007,Antimovo Fortress,,1.0,1.0,4.374991710713659,4.521941168007944,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0008,Poros Fortress wall,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,1.979068750532838,2.0686365744843074,Very Low,Low,True
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0009,Dolmen Dragon house,,1.0,1.0,2.7619516339104413,2.8294956669717157,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0010,Urdoviza Fortress,Soil Erosion,0.9119060157463934,0.912828568393084,2.459670286057858,2.5342105864219637,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0011,Gradishte Fortress II,,1.0,1.0,3.518960035887734,3.5142154794190397,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0013,Necropolis City of the dead,,1.0,1.0,3.3490714915731012,3.412925314047613,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0014,Golyamoto Kale,,1.0,1.0,2.4232139025960096,2.5712177057722267,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0015,Church of Christ Pantokrator,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0016,Church of St. John Aliturgetos,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0017,Church of St. John the Baptist,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0018,Church of St. Paraskeva,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0019,Church of St. Stefan,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0020,Church of St. Theodore,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0021,Church of St. Vlahara,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0022,Church of the Holy Archangels,Soil Erosion; Landslide,0.7880109830335105,0.7898560883268917,2.1764324746506647,2.26620668567857,Low,Low,False
