Cluster,Checkpoint_Iterations,Compared_With,Mean_Abs_Change_in_Site_Mean,Max_Abs_Change_in_Site_Mean,Mean_Abs_Change_in_Site_SD,Max_Abs_Change_in_Site_SD
1,100,,,,,
1,250,100,0.003172926097014793,0.009152657826452248,0.0033686800612753275,0.012507540313167628
1,500,250,0.0011989798499789687,0.003955074063468622,0.001059198076850296,0.004735155877552882
1,750,500,0.0008529031269532884,0.0027309443207297335,0.001172189896487606,0.003967139234671013
1,1000,750,0.002488013995191885,0.007697563076755287,0.0006295554669073521,0.0018782343727584278
2,100,,,,,
2,250,100,0.004928622930819036,0.010470894769720296,0.00088623162234076,0.0023252387267147373
2,500,250,0.001931148126711268,0.004580047959202638,0.0013440948832561372,0.003066956726199034
2,750,500,0.0008280384476972449,0.0018602706439558858,0.0011098885742552636,0.003427693963333464
2,1000,750,0.0003596734332726353,0.0009294486286397508,0.00030444267514980096,0.0008547874665330371
3,100,,,,,
3,250,100,0.0019195342759766112,0.0037994216180932128,0.0013091224838319925,0.0033281533794934925
3,500,250,0.0012669597461455642,0.0026114226809701435,0.0010557699303274236,0.002905578624034108
3,750,500,0.0005491866631624146,0.0014747950086846373,0.0008141885130512642,0.0019516445838871216
3,1000,750,0.0009713980297102,0.0022996874101615106,0.00047425924554963275,0.0011602431128252405
